,Sentiment,Tweet,URL,Time,Sentiment Scores
0,Positive,EN In Saudi Arabia Humans come first His majesty King Salman orders full free COVID19 treatment for citizens residents an,https://twitter.com/statuses/1245102447741280257,2020-03-31 21:35:31,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5611111111111111)"
1,Positive,War is sweet to those who haven t experienced it,https://twitter.com/statuses/1245102362693447683,2020-03-31 21:35:10,"Sentiment(polarity=0.575, subjectivity=0.775)"
2,Positive,3G The Kingdom of Saudi Arabia is a strong renewed country with the ability and expertise to implement pro,https://twitter.com/statuses/1245102353113645057,2020-03-31 21:35:08,"Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)"
3,Neutral,Salman farouq Please give Us our money,https://twitter.com/statuses/1245102341222739968,2020-03-31 21:35:05,"Sentiment(polarity=0.0, subjectivity=0.0)"
4,Positive,Man With Golden Heart SALMAN KHAN Danation Style,https://twitter.com/statuses/1245102233718382592,2020-03-31 21:34:40,"Sentiment(polarity=0.3, subjectivity=0.5)"
5,Neutral,Different views Different needs Different dreams Mararaba Nasarawa state 2017 archives,https://twitter.com/statuses/1245102118702321669,2020-03-31 21:34:12,"Sentiment(polarity=0.0, subjectivity=0.6)"
6,Neutral,How soon are the relief materials going to be deployed what are the strategies put in place for us to track progress to,https://twitter.com/statuses/1245102028818386946,2020-03-31 21:33:51,"Sentiment(polarity=0.0, subjectivity=0.0)"
7,Neutral,Bollywood 90s Celebrities Donations For COVID19 Salman Khan 25K Workers Akshay Kumar 25Cr Ajay Devgn 23Cr Ye,https://twitter.com/statuses/1245101987873427461,2020-03-31 21:33:41,"Sentiment(polarity=0.0, subjectivity=0.0)"
8,Positive,Dear Married Men In this period of Lockdown pls wear ur best clothes amp ur designer perfs stay at home for your wife to,https://twitter.com/statuses/1245101935570665473,2020-03-31 21:33:28,"Sentiment(polarity=0.625, subjectivity=0.275)"
9,Positive,Language is courage the ability to conceive a thought to speak it and by doing so to make it true Salman Rushdie,https://twitter.com/statuses/1245101812853755904,2020-03-31 21:32:59,"Sentiment(polarity=0.35, subjectivity=0.65)"
10,Neutral,I wish COVID19 says April fool n Fo COVID,https://twitter.com/statuses/1245101680980627459,2020-03-31 21:32:28,"Sentiment(polarity=0.0, subjectivity=0.0)"
11,Negative,Jihadi Salman Nizami amp Shahid Siddiqui are spreading fake news that 400 devotees are stranded at Vaishno Devi CEO Shri Mata,https://twitter.com/statuses/1245101569441271809,2020-03-31 21:32:01,"Sentiment(polarity=-0.5, subjectivity=1.0)"
12,Positive,A AlKhalaf King Salman orders that free Covid 19 healthcare be provided to every person in the country whether it be a Saudi ci,https://twitter.com/statuses/1245101555327610887,2020-03-31 21:31:58,"Sentiment(polarity=0.4, subjectivity=0.8)"
13,Neutral,I have bags of rice spaghetti maggi beans and oil to support like 30 families If you are within Kano and knows of someon,https://twitter.com/statuses/1245101503863545857,2020-03-31 21:31:46,"Sentiment(polarity=0.0, subjectivity=0.0)"
14,Positive,The Netherlands Public Safety used a verse of the Glorious Qur an to demonstrate Stay Safe amp save others during Covid19,https://twitter.com/statuses/1245101408891871237,2020-03-31 21:31:23,"Sentiment(polarity=0.25, subjectivity=0.2833333333333333)"
15,Neutral,Hi we need extra ventilators at Walsall Manor Hospital and Hospitals in Birmingham UK please call,https://twitter.com/statuses/1245101375207464966,2020-03-31 21:31:15,"Sentiment(polarity=0.0, subjectivity=0.1)"
16,Positive,May be this is the right time to post our graduation pics ilim,https://twitter.com/statuses/1245101353908817921,2020-03-31 21:31:10,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
17,Positive,This is at his best It s the kind of thing he s been doing for years Salman Khan to help 25000 daily wag,https://twitter.com/statuses/1245101248841474052,2020-03-31 21:30:45,"Sentiment(polarity=0.5333333333333333, subjectivity=0.39999999999999997)"
18,Neutral,The Satanic Verses by Salman Rushdie,https://twitter.com/statuses/1245101051285573635,2020-03-31 21:29:58,"Sentiment(polarity=0.0, subjectivity=0.0)"
19,Neutral,Salman from Seemapuri Delhi See what NizamuddinMarkaz teaches him and what they do there Now find a way to save yourse,https://twitter.com/statuses/1245100999137611776,2020-03-31 21:29:45,"Sentiment(polarity=0.0, subjectivity=0.0)"
20,Neutral,Also imagine thinking that King Salman and Putin are gonna be intimidated by this press conference where we re de,https://twitter.com/statuses/1245100934000250881,2020-03-31 21:29:30,"Sentiment(polarity=0.0, subjectivity=0.0)"
21,Positive,Ya Allah please Give Our Mothers All the Happiness of This Duniya And Akhira Ya Allah Please Make Them Happy With U,https://twitter.com/statuses/1245100904233254913,2020-03-31 21:29:23,"Sentiment(polarity=0.75, subjectivity=0.6)"
22,Positive,Homonyms sound alike but have different meanings Homophones are homonyms that have different spellings Well in good healt,https://twitter.com/statuses/1245100831029858304,2020-03-31 21:29:05,"Sentiment(polarity=0.275, subjectivity=0.55)"
23,Positive,Muhammad bin Salman has made Saudi Arabia a great country O God you speak of your country tha,https://twitter.com/statuses/1245100800793288704,2020-03-31 21:28:58,"Sentiment(polarity=0.8, subjectivity=0.75)"
24,Neutral,Prophet Muhammad said Do not swear by your fathers or by your mothers or by rivals to Allah and swear by Al,https://twitter.com/statuses/1245100716391309315,2020-03-31 21:28:38,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,Positive,King Salman ordered that treatment be free for all even those in breach of the residency system,https://twitter.com/statuses/1245100389734789120,2020-03-31 21:27:20,"Sentiment(polarity=0.4, subjectivity=0.8)"
26,Neutral,COVID19 Statement by the Honourable Minister of Power on Tariffs and Palliative measures for the Niger,https://twitter.com/statuses/1245100387432095750,2020-03-31 21:27:19,"Sentiment(polarity=0.0, subjectivity=0.0)"
27,Positive,Haha Good selection but Salman Butt should be the captain as he hurt us the most in a very short span of time,https://twitter.com/statuses/1245100384122740736,2020-03-31 21:27:19,"Sentiment(polarity=0.35, subjectivity=0.4475)"
28,Positive,As a Saudi citizen I am proud to say that one day everyone hoped that they would have a leader like Muhammad bin,https://twitter.com/statuses/1245100308990230530,2020-03-31 21:27:01,"Sentiment(polarity=0.8, subjectivity=1.0)"
29,Negative,ARY expect an initiative by ARY to ban all political talkshows discussing negative amp criticism on the relief e,https://twitter.com/statuses/1245100297636253696,2020-03-31 21:26:58,"Sentiment(polarity=-0.15, subjectivity=0.25)"
30,Negative,Feeling sad stressed anxious or angry while CopingWithCOVID Join amp s webinar series on,https://twitter.com/statuses/1245100288387756037,2020-03-31 21:26:56,"Sentiment(polarity=-0.4166666666666667, subjectivity=1.0)"
31,Neutral,Storm Donation From Bollywood Till Now Akshay Kumar 100Cr Salman Khan 2Cr Ajay Devgn 1 1Cr Vicky Kaushal 1Cr Kartik Ar,https://twitter.com/statuses/1245100076600418305,2020-03-31 21:26:05,"Sentiment(polarity=0.0, subjectivity=0.0)"
32,Neutral,mms So you re saying the ref decided he wanted to give Messi a red after the fact If th,https://twitter.com/statuses/1245100029351772162,2020-03-31 21:25:54,"Sentiment(polarity=0.0, subjectivity=0.0)"
33,Positive,Salman Khan s Heartbreaking Post On Death Of Nephew Abdullah Will Always Love You SalmanKhan https,https://twitter.com/statuses/1245100018572255232,2020-03-31 21:25:51,"Sentiment(polarity=0.5, subjectivity=0.6)"
34,Neutral,gab khan dvn One and only salman khan,https://twitter.com/statuses/1245100011131674625,2020-03-31 21:25:50,"Sentiment(polarity=0.0, subjectivity=1.0)"
35,Neutral,shukla When salman sir asked both sid and asim to fight NALLA be like,https://twitter.com/statuses/1245099939551576065,2020-03-31 21:25:33,"Sentiment(polarity=0.0, subjectivity=0.0)"
36,Negative,ahmd bilkul sahi kaha bhai what happened at Anand Vihar was criminal on part of administ,https://twitter.com/statuses/1245099663595843588,2020-03-31 21:24:27,"Sentiment(polarity=-0.4, subjectivity=0.55)"
37,Neutral,SalmanKhan pays for 25000 workers family feeds staff Salim Khan says our money should benefit needy,https://twitter.com/statuses/1245099310145888257,2020-03-31 21:23:03,"Sentiment(polarity=0.0, subjectivity=0.0)"
38,Negative,ibrahim Good moment but a horrible match,https://twitter.com/statuses/1245099277443117057,2020-03-31 21:22:55,"Sentiment(polarity=-0.15000000000000002, subjectivity=0.8)"
39,Neutral,OCI OIC Secretary General The order by Custodian of the Two Holy Mosques King Salman bin Abdulaziz s to provide Coronavirus tr,https://twitter.com/statuses/1245099243653812224,2020-03-31 21:22:47,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)"
40,Positive,I can t believe this you know Salman is most beautiful heart 25000 workers need help to Salman sir personally e handle,https://twitter.com/statuses/1245099013637935105,2020-03-31 21:21:52,"Sentiment(polarity=0.45, subjectivity=0.6)"
41,Neutral,Jatt These are real life HEROES too Akshay donated 25 crore Indian Salman bearing 25K people s daily food expenses Shahid,https://twitter.com/statuses/1245098848923648001,2020-03-31 21:21:13,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)"
42,Positive,Hindustan Times Akshay Kumar compares lockdown to Salman Khan s reality show God is the Bigg Boss right now,https://twitter.com/statuses/1245098802832384000,2020-03-31 21:21:02,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
43,Neutral,King of the Summit Mohammed bin Salman,https://twitter.com/statuses/1245098779025473544,2020-03-31 21:20:56,"Sentiment(polarity=0.0, subjectivity=0.0)"
44,Negative,salman am luqenzy I checked nobody dry abeg,https://twitter.com/statuses/1245098520358649859,2020-03-31 21:19:54,"Sentiment(polarity=-0.06666666666666665, subjectivity=0.6)"
45,Neutral,Shehbaz live 5 SidNaaz Sidharth talking to Salman in the party,https://twitter.com/statuses/1245098134616674304,2020-03-31 21:18:22,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)"
46,Positive,We genuinely need our governments help to rescue us from here because if we are not rescued now then things will get mo,https://twitter.com/statuses/1245097831662264327,2020-03-31 21:17:10,"Sentiment(polarity=0.4, subjectivity=0.5)"
47,Neutral,Here is the link to apply for COVID 19 related relief For households MSMEs hardest hit by the adverse impact of the pandemic,https://twitter.com/statuses/1245097691895521280,2020-03-31 21:16:37,"Sentiment(polarity=0.0, subjectivity=0.4)"
48,Neutral,MDVForeign muadmzaki NYTBen It s publication day MBS The Rise to Power of Mohammed bin Salman is on shel,https://twitter.com/statuses/1245097582961070080,2020-03-31 21:16:11,"Sentiment(polarity=0.0, subjectivity=0.0)"
49,Neutral,1107 In this SalSidNaaz conversation Salman sir represents whole SidNaaz fandom He asked that questions joh hum sab l,https://twitter.com/statuses/1245097411506139136,2020-03-31 21:15:30,"Sentiment(polarity=0.2, subjectivity=0.4)"
50,Neutral,Italy mein same aisa hi kuch bolke failaya gaya tha virus chinese ne We r not fools SALMAN,https://twitter.com/statuses/1245097365180211202,2020-03-31 21:15:19,"Sentiment(polarity=0.0, subjectivity=0.0625)"
51,Negative,I Think SALMAN KHAN is the worst Actor in Bollywood Right Now,https://twitter.com/statuses/1245097348792893440,2020-03-31 21:15:15,"Sentiment(polarity=-0.35714285714285715, subjectivity=0.7678571428571428)"
52,Neutral,com Salman Khan s 38 year old nephew passes away after complaining of breathlessness media reports suggest coronavirus as pos,https://twitter.com/statuses/1245097080705527809,2020-03-31 21:14:11,"Sentiment(polarity=0.1, subjectivity=0.2)"
53,Neutral,krishnan Salman ji their press note says they stopped after Janata Curfew ann,https://twitter.com/statuses/1245096903785639937,2020-03-31 21:13:29,"Sentiment(polarity=0.0, subjectivity=0.0)"
54,Neutral,Here s your daily dose of Quran,https://twitter.com/statuses/1245096855211474944,2020-03-31 21:13:17,"Sentiment(polarity=0.0, subjectivity=0.0)"
55,Negative,DaKenyan It doesn t matter how old you are your age belongs to the previous generation In this generation if you are wrong you,https://twitter.com/statuses/1245096818138021888,2020-03-31 21:13:08,"Sentiment(polarity=-0.18888888888888888, subjectivity=0.4222222222222222)"
56,Positive,An interesting photo I just came across,https://twitter.com/statuses/1245096773045104640,2020-03-31 21:12:58,"Sentiment(polarity=0.5, subjectivity=0.5)"
57,Neutral,Yes when Salman and Vladimir meet up all they talk about is their hatred of the Oilers and the F,https://twitter.com/statuses/1245096722121949184,2020-03-31 21:12:45,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,Negative,Not convincing at all In fact terrible EU Hungary,https://twitter.com/statuses/1245096701821665280,2020-03-31 21:12:41,"Sentiment(polarity=-0.625, subjectivity=1.0)"
59,Neutral,Mohammer Bin Salman amp Mohammed bin Zayed are two giants the leftists fear,https://twitter.com/statuses/1245096249562406914,2020-03-31 21:10:53,"Sentiment(polarity=0.0, subjectivity=0.0)"
60,Positive,With strong resolve amp unmatched willpower they stand strong to safeguard society Join us in saluting our front line h,https://twitter.com/statuses/1245096222244864000,2020-03-31 21:10:46,"Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)"
61,Negative,Exiled Pakistani journalist goes missing in Sweden,https://twitter.com/statuses/1245096176627695616,2020-03-31 21:10:35,"Sentiment(polarity=-0.2, subjectivity=0.05)"
62,Neutral,King Salman Please help my mother abdurrahman0104,https://twitter.com/statuses/1245096065419759616,2020-03-31 21:10:09,"Sentiment(polarity=0.0, subjectivity=0.0)"
63,Neutral,Muhd Guys come out Who said it s only for the ladies My wife and i norushchallenge,https://twitter.com/statuses/1245095922758975489,2020-03-31 21:09:35,"Sentiment(polarity=0.0, subjectivity=1.0)"
64,Neutral,Tamil newspapers and media sites mark Mullivaikkal remembrance on today s front pages and posts Tamil Mullivaikkal M,https://twitter.com/statuses/1245095879633014784,2020-03-31 21:09:25,"Sentiment(polarity=0.0, subjectivity=0.0)"
65,Positive,It s quite striking that the first four doctors to die from coronavirus were all Muslims from immigrant backgrounds Refle,https://twitter.com/statuses/1245095803594649609,2020-03-31 21:09:06,"Sentiment(polarity=0.375, subjectivity=0.6666666666666666)"
66,Neutral,Spoke with Saudi Crown Prince Mohammed bin Salman Al Saud regarding the coronavirus and we agreed all countries need to wor,https://twitter.com/statuses/1245095718894723072,2020-03-31 21:08:46,"Sentiment(polarity=0.0, subjectivity=0.0)"
67,Negative,For people who asked Mere Hero Ne kya Kiya SalmanKhan,https://twitter.com/statuses/1245095651840602113,2020-03-31 21:08:30,"Sentiment(polarity=-0.5, subjectivity=0.5)"
68,Neutral,has lost his dearest nephew AbdullahKhan SalmanKhanNephewDemise RIPAbdullahKhan,https://twitter.com/statuses/1245095170690826240,2020-03-31 21:06:36,"Sentiment(polarity=0.0, subjectivity=0.0)"
69,Neutral,Former PM Shahid Khaqan Abbasi is saying Imran Khan k liyay sabse behtar hai k apna mou band rakha karay Now this is som,https://twitter.com/statuses/1245094889429307394,2020-03-31 21:05:29,"Sentiment(polarity=0.0, subjectivity=0.0)"
70,Neutral,bachuuuuu boutta come outta quarantine stronger than salman khan mashallah,https://twitter.com/statuses/1245094782516551681,2020-03-31 21:05:03,"Sentiment(polarity=0.0, subjectivity=0.0)"
71,Neutral,Been days since i last opened ig and saw salman doing the 3roob face feel like my day aint complete,https://twitter.com/statuses/1245094624932384768,2020-03-31 21:04:25,"Sentiment(polarity=0.05, subjectivity=0.23333333333333334)"
72,Positive,I cant believe what he is saying Toby when this is all over I think you better give Salman a call t,https://twitter.com/statuses/1245094611229573121,2020-03-31 21:04:22,"Sentiment(polarity=0.5, subjectivity=0.5)"
73,Neutral,As directed by King Salman to the Ministry of Health when you feel symptoms of corona high fever shortness of b,https://twitter.com/statuses/1245094392387559426,2020-03-31 21:03:30,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)"
74,Negative,For too long these gallam galouch gangs has haunted everyone Now is the time to strike back,https://twitter.com/statuses/1245094338494894080,2020-03-31 21:03:17,"Sentiment(polarity=-0.025, subjectivity=0.2)"
75,Negative,23 Wrong devo want limelight u guys can go lickher ass but me being true sid,https://twitter.com/statuses/1245094285462122496,2020-03-31 21:03:05,"Sentiment(polarity=-0.07500000000000001, subjectivity=0.775)"
76,Positive,Maybe you love because they drove a Sherman tank thru downtown Harrisburg or got Salman Rushdie AND,https://twitter.com/statuses/1245094146106327044,2020-03-31 21:02:31,"Sentiment(polarity=0.5, subjectivity=0.6)"
77,Positive,Mohammed Bin Salman Al Saud has done more thisncountry and soxiety than anyone else and we are moving forward o,https://twitter.com/statuses/1245093879923253248,2020-03-31 21:01:28,"Sentiment(polarity=0.5, subjectivity=0.5)"
78,Positive,Salman Khan mourned the demise of his nephew and shared an old picture posing with Abdullah He wrote Will always love y,https://twitter.com/statuses/1245093581167169542,2020-03-31 21:00:17,"Sentiment(polarity=0.3, subjectivity=0.4)"
79,Neutral,Salman Khan mourned the demise of his nephew and shared an old picture posing with Abdullah He wrote Will always,https://twitter.com/statuses/1245093510857895938,2020-03-31 21:00:00,"Sentiment(polarity=0.1, subjectivity=0.2)"
80,Neutral,If you are in UK and under coronavirus lockdown with an abusive partner dial 999 wait to be connected press 55 amp hang up,https://twitter.com/statuses/1245093435528314883,2020-03-31 20:59:42,"Sentiment(polarity=0.0, subjectivity=0.0)"
81,Neutral,The difference between amp others is that SALMAN never ever makes noise when he s doing charity others,https://twitter.com/statuses/1245093307576987656,2020-03-31 20:59:11,"Sentiment(polarity=0.0, subjectivity=0.0)"
82,Neutral,Follow him and get follow back snaps,https://twitter.com/statuses/1245093112684347392,2020-03-31 20:58:25,"Sentiment(polarity=0.0, subjectivity=0.0)"
83,Neutral,No words for THE SALMAN KHAN Stardom level,https://twitter.com/statuses/1245093106745135105,2020-03-31 20:58:24,"Sentiment(polarity=0.0, subjectivity=0.0)"
84,Neutral,Tell daddy The stock market crash was caused by Donald Trump s besties Vladimir Putin and Moham,https://twitter.com/statuses/1245093003078877186,2020-03-31 20:57:59,"Sentiment(polarity=0.0, subjectivity=0.0)"
85,Positive,I had the best time getting to know Salman and learning about his endeavors with Rave Scout Cookies,https://twitter.com/statuses/1245092887836196866,2020-03-31 20:57:31,"Sentiment(polarity=1.0, subjectivity=0.3)"
86,Positive,Asad Salman we all love you ALLAH Blessed you and your family,https://twitter.com/statuses/1245092836950900736,2020-03-31 20:57:19,"Sentiment(polarity=0.5, subjectivity=0.6)"
87,Neutral,2078 Salman Alnaaim is inviting you to a scheduled Zoom meeting Topic Financial Success Introduction Time Apr 2 2020 08 00,https://twitter.com/statuses/1245092747142410244,2020-03-31 20:56:58,"Sentiment(polarity=0.15, subjectivity=0.0)"
88,Neutral,stayvibrant Had the absolute pleasure of talking with Salman Jaberi the creator and founder of Rave Scout Cookies An org that is tr,https://twitter.com/statuses/1245092738321788928,2020-03-31 20:56:56,"Sentiment(polarity=0.2, subjectivity=0.9)"
89,Neutral,Saudi Government opens Holy Kaaba for Tawaf,https://twitter.com/statuses/1245092717350268929,2020-03-31 20:56:51,"Sentiment(polarity=0.0, subjectivity=0.0)"
90,Neutral,Had the absolute pleasure of talking with Salman Jaberi the creator and founder of Rave Scout Cookies An org that,https://twitter.com/statuses/1245092661410832386,2020-03-31 20:56:37,"Sentiment(polarity=0.2, subjectivity=0.9)"
91,Neutral,23 This all mess is the result of your positive 23 who is not conc,https://twitter.com/statuses/1245092260972122112,2020-03-31 20:55:02,"Sentiment(polarity=0.026136363636363638, subjectivity=0.36022727272727273)"
92,Negative,heart2019 Miss the one ounce of positivity for you which i felt due to SidRa fandom is vanished as soon as you,https://twitter.com/statuses/1245092091161497600,2020-03-31 20:54:21,"Sentiment(polarity=-0.125, subjectivity=0.375)"
93,Positive,dun Many important lessons to be learnt from Saudi Arabia and HM King Salman True humanity Action not jus,https://twitter.com/statuses/1245091765620793345,2020-03-31 20:53:04,"Sentiment(polarity=0.3375, subjectivity=0.5625)"
94,Neutral,I think if you have money you should use it to save life I feel what we are doing is just a drop in the ocean Salman K,https://twitter.com/statuses/1245091689909211136,2020-03-31 20:52:46,"Sentiment(polarity=0.0, subjectivity=0.0)"
95,Neutral,Salman Khan my thought for Being Human right from the beginning was that the citizens of this country should never have,https://twitter.com/statuses/1245091657516638208,2020-03-31 20:52:38,"Sentiment(polarity=0.14285714285714285, subjectivity=0.31785714285714284)"
96,Neutral,Salman Khan Means Being Human His Heart Is Bigger Than His Biceps Love You BeingConsistentIs,https://twitter.com/statuses/1245091613723873280,2020-03-31 20:52:28,"Sentiment(polarity=0.16666666666666666, subjectivity=0.39999999999999997)"
97,Neutral,If money can save life I will provide it Salman Khan BeingConsistentIsBeingHuman,https://twitter.com/statuses/1245091555083337728,2020-03-31 20:52:14,"Sentiment(polarity=0.0, subjectivity=0.0)"
98,Positive,If You Love Me Let Me Know,https://twitter.com/statuses/1245091283623972865,2020-03-31 20:51:09,"Sentiment(polarity=0.5, subjectivity=0.6)"
99,Neutral,Shaq will 1000 be me as a parent,https://twitter.com/statuses/1245091259263275009,2020-03-31 20:51:03,"Sentiment(polarity=0.0, subjectivity=0.0)"
100,Neutral,Just because Akshay Kumar donated money we shouldn t expect Salman Khan do the same immediately Salman will definitely don,https://twitter.com/statuses/1245091256780197888,2020-03-31 20:51:02,"Sentiment(polarity=0.0, subjectivity=0.3125)"
